Well,well_type,Avg_control_200,Avg_control_2000,Avg_control_5000,SD_control_200,SD_control_2000,SD_control_5000
A01,dmso,1.0510403426019368,0.9769528246043077,0.9667943692725212,0.13823119105561332,0.06462215904320423,0.011300290070508248
A02,cbd,0.9732541398572381,0.982911718449776,0.9425338172652848,0.01677025211891011,0.016630805545457723,0.014169856543632769
A03,test_compounds,0.91066339638767,0.9528502604362035,0.901463957798497,0.048030056295417754,0.07264727839467097,0.01778808264810196
A04,test_compounds,0.9105896006406575,0.9867480842157319,1.0057285627398422,0.08850882653646203,0.05837066327339813,0.035307266230592105
A05,test_compounds,0.9195800978118271,0.9925143307312599,1.0230127089693717,0.0759628075792368,0.07651027667901847,0.024250151212943938
A06,test_compounds,0.8758813255993042,0.9962815278019219,1.090524633120437,0.1146968363228497,0.030526851477785742,0.0674780878886478
A07,test_compounds,0.9312779988591132,1.0754987788988977,0.9949902127756907,0.11230414691035855,0.06288996692136191,0.06206556482019474
A08,test_compounds,0.9494420423599059,1.1294292666981924,1.050039010067689,0.07700111235579285,0.05374957806813147,0.07629597628074339
A09,test_compounds,0.952300651711222,1.0402084505881373,0.9215676892120881,0.1040629446681885,0.06358165422807807,0.050076326742715956
A10,test_compounds,0.662897273228631,0.8689615139049033,0.8555070160429927,0.07413115387870277,0.06555018342355012,0.047719519209919035
A11,test_compounds,0.884380796152403,0.7902667830672033,0.7228955619361725,0.06570597833709386,0.05716393382869472,0.028536273066146225
A12,PC,0.19728942635787933,0.1947505941740385,0.2058558980887353,0.003976851782142756,0.01945091644380414,0.0023757356464172343
B01,dmso,0.9941584911190657,0.9682756796475821,0.7892912979883187,0.13405858757179984,0.027514587895293003,0.016056902679514883
B02,cbd,0.9147364929894756,0.9536445888723311,0.9929314882740452,0.04151058031566713,0.006807857239700926,0.002018589064290077
B03,test_compounds,0.3646043332688818,0.37176925554296614,0.43034341833220446,0.04036491343440456,0.0029523433440074138,0.007368565599057858
B04,test_compounds,0.8035655715363753,0.7406196190064614,0.7590395489533976,0.1163926794901052,0.02492344519922897,0.018454594799639023
B05,test_compounds,0.8678899908150012,0.7151300630028669,0.7047966785824973,0.07416463765797547,0.04033452168482506,0.02048701236065328
B06,test_compounds,0.7801671912958114,0.6967777959799828,0.7165417944902451,0.09475053622315535,0.021938382592397745,0.03746519324239668
B07,test_compounds,0.8981258430365042,0.4918926412471467,0.4579612191448564,0.14292795684362924,0.042135662643687656,0.014536234522568688
B08,test_compounds,0.9208912576050756,0.5825414445334136,0.48609107420594666,0.09702217463482117,0.03716178647288888,0.016673312772838924
B09,test_compounds,0.8982854065838944,0.9782975930096146,0.94465778404544,0.07248014986727398,0.06447810000675354,0.026030142830716523
B10,test_compounds,0.35676798069050186,0.3336325123028925,0.3538504360676248,0.018124046159058296,0.030136079392672876,0.007163176654694002
B11,test_compounds,0.3446457716268228,0.3507183779594327,0.3652977971963108,0.02616462211904436,0.02734629454028202,0.012902300762790506
B12,PC,0.1934005529130973,0.19062011571139545,0.20438228365762987,0.006888947384246124,0.014912612604901216,0.00491885686144845
C01,dmso,1.0567709287530083,0.9773584823902349,0.776397460682453,0.18431534649355324,0.049092277534461014,0.034712510312786174
C02,cbd,1.0507201764367589,1.0300382309843825,1.0305105169951703,0.01962343759572104,0.017891521756304266,0.014112788028735451
C03,test_compounds,1.0393327941910047,1.0970293507653206,1.10220424133476,0.05372569685839801,0.07849421246206553,0.009714152853357066
C04,test_compounds,0.5561890732867603,0.5434049784051999,0.5830946369986054,0.0322967573645465,0.021536975023589953,0.0037499997405631364
C05,test_compounds,0.6651299149959156,0.6632581480965548,0.6768053774781598,0.017140359584104568,0.03500313400378829,0.007797951543593705
C06,test_compounds,0.9018549856453801,0.8432918463171051,0.9176573640085012,0.08309286564275883,0.024280277661535513,0.025584356421204532
C07,test_compounds,1.029582178208002,1.113231420369204,1.0550007297487691,0.08950138928829517,0.04935818423027656,0.03656661909056109
C08,test_compounds,1.0412080721163237,1.1165896192537241,1.0685631377897506,0.08430026005156287,0.07999215352695269,0.05180985455641089
C09,test_compounds,1.0826131514401236,1.0910855790318468,0.9535636237799446,0.06364926339606336,0.13145588293284535,0.029534775374816136
C10,test_compounds,0.7289385679825148,1.0396126334176945,0.9631876591266203,0.11047106110327468,0.07860300959481231,0.023409026627602848
C11,test_compounds,0.940334893200447,0.9774143629397289,0.9190328494026219,0.10105261386474669,0.06720615665667617,0.06783846537238387
C12,PC,0.19825696303310944,0.1946112356025748,0.2048007181221541,0.006013110745619971,0.015181918346789397,0.003723907055710819
D01,dmso,1.031284683917713,1.0002713763646092,0.7690702439850341,0.16944709909292227,0.051101988250039455,0.020942407290902357
D02,cbd,1.022721929514863,1.013995861434777,1.0081468529291657,0.027823602583905413,0.01564329119115815,0.03186401000216917
D03,test_compounds,1.040837440201367,1.1400437438579412,1.085666264287655,0.045188492572591485,0.06739023716998796,0.0119839842866045
D04,test_compounds,0.46784483069142924,0.4759169954059601,0.4915377081601084,0.07379186690117209,0.014577798620779002,0.016894619669123485
D05,test_compounds,0.9556964081892386,0.9797187150519933,1.0613113277117927,0.09014929224907929,0.024481364541873052,0.0011583308143691077
D06,test_compounds,0.9422674836940476,0.9354598507336271,0.9467212296279545,0.14021222639339773,0.06613907259063566,0.018077556150282212
D07,test_compounds,1.0530228101922021,1.204895933760383,1.1020409067946058,0.08782034834873943,0.04845889267233012,0.051836430059625495
D08,test_compounds,1.0118617553344356,0.9354436751889162,0.8992065875169296,0.10995397820793024,0.060125753971086215,0.03921652534998079
D09,test_compounds,0.9176800908823276,0.8905559485214766,0.888438100259551,0.09217614483924597,0.09244045235551575,0.021091223229621075
D10,test_compounds,0.765549616882031,1.2994384089544269,1.2301525629602896,0.08981986646906163,0.10057784502193107,0.07336292413861896
D11,test_compounds,0.9162289829449897,0.9194028676715701,0.895465410638658,0.0992069795515852,0.03491481379033291,0.04374100664473339
D12,PC,0.20301129956087152,0.20070173838903352,0.22942045515364848,0.00648086641722705,0.017557900513548073,0.011538601063903618
E01,PC,0.202300533508776,0.20178755532983247,0.22792946188878746,0.006776092218522614,0.018668263023152394,0.0034996535889311982
E02,cbd,1.0385672612016645,1.0194096002587334,1.025877324536334,0.01770197273585651,0.007290830537504441,0.0211249920880066
E03,test_compounds,0.9763112064681811,0.7536162244893471,0.7014206568506344,0.017155835997211422,0.03093861132674337,0.012763761147539346
E04,test_compounds,0.9257082918709594,0.7514915405351191,0.7638552453680927,0.09524247945639472,0.023693212651388525,0.010519055350109852
E05,test_compounds,0.7912329337658349,0.8235210004930639,0.8354222801787045,0.04295494337634185,0.05854198426058014,0.02815556467548653
E06,test_compounds,0.9905301850806236,0.20149191996563168,0.21658821829868008,0.12185428401480856,0.014221633901324918,0.01908874932513953
E07,test_compounds,1.0568997514068468,1.1171483077893032,0.9165924074370275,0.10625518382754447,0.07164130522218397,0.0537833202709199
E08,test_compounds,1.074802110282139,1.09480799352583,0.9726964650659131,0.12440220975859004,0.09073565046905976,0.038705456347807726
E09,test_compounds,0.8851136984499333,0.7476453556897426,0.6905086689021573,0.06339621205356089,0.048163183021182006,0.01502841965265131
E10,test_compounds,0.381782398411533,0.38558022911093603,0.386196049430483,0.03726862525258952,0.020916056110430525,0.0052356347645407045
E11,test_compounds,0.7839555400966775,1.0400243552414996,1.0349769133165225,0.12922954998828518,0.04836702019655048,0.04719345001361353
E12,dmso,0.9804355231402447,1.0142843267421116,1.001489044461474,0.06924250505443491,0.07844138928541732,0.022354198075146058
F01,PC,0.20753114145258234,0.19697869880587596,0.21773364872935033,0.007322968589242448,0.010669818752160224,0.008518554475923918
F02,test_compounds,0.972565716591444,0.9775211419199004,0.783312142630328,0.017158222528794894,0.014725095721979269,0.023184914606255814
F03,test_compounds,0.9137074733793802,0.9093697625345808,0.8751573072668247,0.045173112522909745,0.02884534938413058,0.023851468340064207
F04,test_compounds,0.9372377479218696,0.9425362159152717,1.0043960307069015,0.061151269290578694,0.02071213873473308,0.018057107967822197
F05,test_compounds,0.9317064948989123,0.8564965191069894,0.834824150867793,0.05414615442176065,0.029886116791021378,0.020518232699979284
F06,test_compounds,0.9486493353996682,0.9519813111059982,0.9785851479950834,0.07181363055668548,0.051103884641994335,0.04370353147743404
F07,test_compounds,0.9068558021010358,0.6209730000376971,0.5786463157228662,0.10228388034986638,0.009309310054249682,0.006780459343993487
F08,test_compounds,0.9625364080851191,1.0083714569093307,0.9464560497773945,0.061738185357298046,0.02970636559114105,0.013403713171935958
F09,test_compounds,1.0418328659334302,1.077423879602188,0.9952411966937977,0.037594192708208504,0.035318163351725135,0.03549618097258884
F10,test_compounds,1.0067462454897846,0.9188115938278684,0.8681562422135201,0.0736367505421717,0.06478676750264342,0.029708024941132987
F11,test_compounds,0.8965161323309393,0.8740826529480507,0.936023090955046,0.08820124757020853,0.07257812334889148,0.019465507378123446
F12,dmso,1.0030619091401212,0.9835964713539856,0.9917691419560551,0.05502406860424843,0.06360347981475478,0.03590576153132451
G01,PC,0.20283307395605585,0.19562505249661863,0.2151285643209327,0.007370321428513283,0.01483787307317757,0.010944021790337407
G02,test_compounds,0.9382186624092407,0.9699191297985605,0.957563197972081,0.05299405401817919,0.03862483992879514,0.04729704019284079
G03,test_compounds,0.9175160477291735,0.8470771398912228,0.8190778374080456,0.013240853843062768,0.04158796017632112,0.021083720860567978
G04,test_compounds,0.9152825243627063,0.7705884656321009,0.7826248838945044,0.0730883456530845,0.05976376600199703,0.02274354031559553
G05,test_compounds,0.8766410868124761,0.932426271000193,0.996556376513524,0.053913136294121325,0.013420279715130774,0.0077546765496885155
G06,test_compounds,0.506210097081911,0.3858402700823992,0.3827955085494519,0.06275047134607448,0.025608511607715212,0.005621251769402548
G07,test_compounds,0.973487246206192,1.0583703841947576,1.0255114105836334,0.06567554506499056,0.09230248991792431,0.052660513188889854
G08,test_compounds,1.0388772390422776,1.1864881148639819,1.1054160035351812,0.05267176878584884,0.09997882585274569,0.03414141775779096
G09,test_compounds,0.8327630744274255,0.8550176865845049,0.8083057796693751,0.03888062246857258,0.08064838013015445,0.015761097143653348
G10,test_compounds,0.9580677135452966,0.9978090120717584,0.9874580415688375,0.03627633221297532,0.07382013172523448,0.00811766468972932
G11,test_compounds,0.9579043990677649,1.0797911585270696,0.9815084054637374,0.08118643069061732,0.08530875709360851,0.041625946896087375
G12,dmso,0.9798800954815609,1.006240011610847,0.9987067485854076,0.01008109721709794,0.06555367068581035,0.00222882703875419
H01,PC,0.19556549716611973,0.19651032963336906,0.21540385067390425,0.0039975087619562415,0.011887513957839237,0.007329329434113142
H02,test_compounds,0.8794972367092324,0.9423307029774316,0.9394734112245349,0.03067349684234643,0.003161368184872425,0.016385824195639286
H03,test_compounds,0.9211194569044154,0.700579637729267,0.6585695880950986,0.019316681294908877,0.03203124191345102,0.06335703755359752
H04,test_compounds,0.8176131865082265,0.7394468961442208,0.5801296307042494,0.06764622457625906,0.022485698970287543,0.024800169368605542
H05,test_compounds,0.8487947697620658,0.7658245261013069,0.8108301769677336,0.06708529272722019,0.008881906018018592,0.026748470662338604
H06,test_compounds,0.7399051361969379,0.6329801335252794,0.5653680225655858,0.06228144506650519,0.01218950564686647,0.019298219133193618
H07,test_compounds,0.8974299829826423,0.9421330283158623,0.8301579813976571,0.04113698995818,0.016850040333626016,0.008346577000136648
H08,test_compounds,0.9629357926175117,0.9432403054673437,0.8279358562505711,0.02636837546984278,0.028045480248487187,0.028371081412156943
H09,test_compounds,1.0479828941619653,1.1388466485868949,1.0198597601877175,0.034506813723766905,0.0818659870161462,0.04236586933839642
H10,test_compounds,0.5017164873389707,0.4663983545011915,0.443980886995064,0.021679876545810845,0.03326038642263607,0.009038565270842982
H11,test_compounds,0.9131347035354634,0.8182813087519272,0.7672062669490097,0.029228265024634024,0.055916588439531706,0.02214411049588921
H12,dmso,0.957652516806485,0.988340403637588,0.9779495413899656,0.03399190190500122,0.02970698219872037,0.024867763037888145
