Well,run1_Avg_2000,run1_Avg_200,run3_Avg_200,run3_Avg_2000,run3_Avg_5000
A01,1.2674974154754135,NA,NA,NA,0.9667943692725212
A02,1.1302646532063845,NA,NA,NA,0.9425338172652848
A03,NA,NA,NA,NA,0.901463957798497
A04,NA,NA,NA,NA,NA
A05,NA,NA,NA,NA,NA
A06,NA,NA,NA,NA,NA
A07,NA,NA,NA,NA,NA
A08,1.2096698856735566,NA,NA,1.1294292666981924,NA
A09,NA,NA,NA,NA,NA
A10,NA,NA,0.662897273228631,NA,0.8555070160429927
A11,NA,NA,NA,0.7902667830672033,0.7228955619361725
A12,0.2185570383983711,0.19419320364812304,0.19728942635787933,0.1947505941740385,0.2058558980887353
B01,NA,NA,NA,NA,0.7892912979883187
B02,0.966714504252564,NA,0.9147364929894756,0.9536445888723311,0.9929314882740452
B03,0.47477271042500296,0.4464903141611246,0.3646043332688818,0.37176925554296614,0.43034341833220446
B04,0.6830603761569328,0.8683658011361286,NA,0.7406196190064614,0.7590395489533976
B05,0.6659245031130047,0.9273816855256488,NA,0.7151300630028669,0.7047966785824973
B06,0.7640180890441298,0.8609869241575782,0.7801671912958114,0.6967777959799828,0.7165417944902451
B07,0.43197224894800273,NA,NA,0.4918926412471467,0.4579612191448564
B08,0.5296927544519848,NA,NA,0.5825414445334136,0.48609107420594666
B09,NA,NA,NA,NA,0.94465778404544
B10,0.3723535396284307,0.5109163473484517,0.35676798069050186,0.3336325123028925,0.3538504360676248
B11,0.45090569829148475,0.504417964446991,0.3446457716268228,0.3507183779594327,0.3652977971963108
B12,0.218132517002495,0.1938365720429775,0.1934005529130973,0.19062011571139545,0.20438228365762987
C01,NA,NA,NA,NA,0.776397460682453
C02,NA,NA,1.0507201764367589,NA,1.0305105169951703
C03,NA,NA,NA,NA,1.10220424133476
C04,0.5863074413809578,0.5819952068010085,0.5561890732867603,0.5434049784051999,0.5830946369986054
C05,0.6746586551927252,0.664021939600731,0.6651299149959156,0.6632581480965548,0.6768053774781598
C06,0.7205588329113254,0.756931262706153,NA,0.8432918463171051,0.9176573640085012
C07,1.073567677547766,NA,NA,1.113231420369204,NA
C08,NA,1.1670736113962314,NA,NA,NA
C09,NA,NA,NA,NA,NA
C10,NA,NA,0.7289385679825148,NA,NA
C11,0.8254839285917477,0.8258691300008975,NA,NA,NA
C12,0.24915618874887116,0.23771682088642013,0.19825696303310944,0.1946112356025748,0.2048007181221541
D01,NA,NA,NA,NA,0.7690702439850341
D02,0.8625608021388612,NA,NA,NA,NA
D03,NA,NA,NA,1.1400437438579412,1.085666264287655
D04,0.49683367303600545,0.5752088739424084,0.46784483069142924,0.4759169954059601,0.4915377081601084
D05,NA,NA,NA,NA,1.0613113277117927
D06,0.9131048998503888,NA,NA,NA,0.9467212296279545
D07,1.1675487597181484,NA,NA,1.204895933760383,NA
D08,NA,NA,NA,NA,0.8992065875169296
D09,NA,NA,NA,NA,0.888438100259551
D10,1.3006889813594584,1.1221115677247888,0.765549616882031,1.2994384089544269,1.2301525629602896
D11,NA,NA,NA,0.9194028676715701,0.895465410638658
D12,0.2196271006764157,0.19840727811508735,0.20301129956087152,0.20070173838903352,0.22942045515364848
E01,0.31365116570895046,0.2738371086784464,0.202300533508776,0.20178755532983247,0.22792946188878746
E02,NA,NA,1.0385672612016645,1.0194096002587334,NA
E03,0.7247185288433212,NA,NA,0.7536162244893471,0.7014206568506344
E04,0.772609857450841,NA,NA,0.7514915405351191,0.7638552453680927
E05,0.6830835585068057,0.6963994152457893,0.7912329337658349,0.8235210004930639,0.8354222801787045
E06,0.2755348496744434,NA,NA,0.20149191996563168,0.21658821829868008
E07,1.2301986916075447,1.088416052950997,NA,NA,NA
E08,1.1412593845014347,NA,NA,NA,NA
E09,0.7252678739250356,NA,NA,0.7476453556897426,0.6905086689021573
E10,0.4051757266062608,0.3594259372473021,0.381782398411533,0.38558022911093603,0.386196049430483
E11,1.154828257328312,NA,NA,NA,NA
E12,1.1538096068455612,NA,NA,NA,NA
F01,0.2597606372627039,0.2271520079979357,0.20753114145258234,0.19697869880587596,0.21773364872935033
F02,1.052322788087301,NA,NA,NA,0.783312142630328
F03,NA,NA,NA,0.9093697625345808,0.8751573072668247
F04,NA,NA,NA,0.9425362159152717,NA
F05,0.8574726023359456,NA,NA,0.8564965191069894,0.834824150867793
F06,NA,0.9497045036336846,NA,NA,NA
F07,0.7280857151600985,NA,NA,0.6209730000376971,0.5786463157228662
F08,NA,NA,NA,NA,0.9464560497773945
F09,NA,NA,NA,1.077423879602188,NA
F10,NA,NA,NA,NA,0.8681562422135201
F11,0.8280117316085503,NA,NA,NA,0.936023090955046
F12,NA,NA,NA,NA,NA
G01,0.24564752474467955,0.2108773451452404,0.20283307395605585,0.19562505249661863,0.2151285643209327
G02,0.9413534298967527,0.9256351471398722,NA,NA,NA
G03,0.7774992932432595,NA,0.9175160477291735,0.8470771398912228,0.8190778374080456
G04,0.6402128458236788,0.8809885776397198,NA,0.7705884656321009,0.7826248838945044
G05,NA,NA,0.8766410868124761,0.932426271000193,NA
G06,0.4277878170500678,0.5685467726197793,0.506210097081911,0.3858402700823992,0.3827955085494519
G07,NA,NA,NA,NA,NA
G08,1.191695103833667,NA,NA,NA,1.1054160035351812
G09,0.8490115130570295,0.8593193326117943,0.8327630744274255,NA,0.8083057796693751
G10,NA,NA,NA,NA,NA
G11,NA,NA,NA,NA,NA
G12,NA,NA,NA,NA,NA
H01,0.2263747220843544,0.19621707930250681,0.19556549716611973,0.19651032963336906,0.21540385067390425
H02,NA,NA,0.8794972367092324,0.9423307029774316,0.9394734112245349
H03,0.7777339136010877,NA,0.9211194569044154,0.700579637729267,0.6585695880950986
H04,0.6552504113762572,0.8731347514747433,0.8176131865082265,0.7394468961442208,0.5801296307042494
H05,0.8721768884894047,0.9059268629193598,0.8487947697620658,0.7658245261013069,0.8108301769677336
H06,0.6426544357374802,0.8156282849609195,0.7399051361969379,0.6329801335252794,0.5653680225655858
H07,NA,NA,0.8974299829826423,0.9421330283158623,0.8301579813976571
H08,NA,NA,NA,0.9432403054673437,0.8279358562505711
H09,1.0487060928054794,NA,NA,NA,NA
H10,0.4858107714927664,0.4981527972006149,0.5017164873389707,0.4663983545011915,0.443980886995064
H11,0.8641211389653725,NA,0.9131347035354634,0.8182813087519272,0.7672062669490097
H12,1.1665874235257614,NA,NA,NA,NA
